t,cpu_pct,rss_bytes
1788254096.153,0.000,25509888
1788254098.154,0.000,23486464
1788254100.155,0.000,24027136
1788254102.155,0.000,24031232
1788254104.156,0.000,24031232
1788254106.157,0.000,24031232
1788254108.157,0.000,24035328
1788254110.158,0.000,24035328
1788254112.159,0.000,24039424
1788254114.160,0.000,24023040
1788254116.161,0.000,23474176
1788254118.162,0.000,23474176
1788254120.163,0.000,23425024
1788254122.164,0.000,23977984
1788254124.164,0.000,24469504
1788254126.165,0.000,24088576
1788254128.165,0.000,23527424
1788254130.166,0.000,24051712
1788254132.167,0.000,24051712
1788254134.168,0.000,24051712
1788254136.168,0.000,24088576
1788254138.169,0.000,24088576
1788254140.170,0.000,24035328
1788254142.171,0.000,24035328
1788254144.171,0.000,23986176
1788254146.172,0.000,23990272
1788254148.173,0.000,23990272
1788254150.174,0.000,23433216
1788254152.175,0.000,23973888
1788254154.176,0.000,0
