t,cpu_pct,rss_bytes
1788253105.715,0.000,24858624
1788253107.715,0.000,24358912
1788253109.716,0.000,24383488
1788253111.717,0.000,24498176
1788253113.717,0.000,24543232
1788253115.718,0.000,24563712
1788253117.719,0.000,25088000
1788253119.719,0.000,25083904
1788253121.720,0.000,25120768
1788253123.721,0.000,24580096
1788253125.722,0.000,25104384
1788253127.723,0.000,24580096
1788253129.723,0.000,24788992
1788253131.724,0.000,25317376
1788253133.725,0.000,24825856
1788253135.725,0.000,25354240
1788253137.726,0.000,24834048
1788253139.726,0.000,24838144
1788253141.727,0.000,25354240
1788253143.728,0.000,25362432
1788253145.729,0.000,25370624
1788253147.730,0.000,24846336
1788253149.730,0.000,25370624
1788253151.731,0.000,25370624
1788253153.732,0.000,24776704
1788253155.733,0.000,24801280
1788253157.734,0.000,25333760
1788253159.735,0.000,25337856
1788253161.735,0.000,25378816
1788253163.736,0.000,0
