t,cpu_pct,rss_bytes
1788252823.571,0.000,82206720
1788252825.577,9.300,82198528
1788252827.587,9.400,82198528
1788252829.597,9.300,82198528
1788252831.604,12.500,82198528
1788252833.613,5.400,82194432
1788252835.621,3.900,82939904
1788252837.644,3.900,82194432
1788252839.653,8.600,82198528
1788252841.661,4.700,82194432
1788252843.669,10.100,82194432
1788252845.681,13.300,82194432
1788252847.690,6.200,82903040
1788252849.700,10.900,82903040
1788252851.710,3.900,82886656
1788252853.718,5.400,82890752
1788252855.727,16.400,82890752
1788252857.738,8.500,82890752
1788252859.749,4.700,82890752
1788252861.759,10.200,82898944
1788252863.768,6.200,82898944
1788252865.780,5.400,82898944
1788252867.790,4.700,82898944
1788252869.801,10.900,82898944
1788252871.810,7.800,82894848
1788252873.822,5.500,82911232
1788252875.830,9.300,82915328
1788252877.841,7.000,82915328
1788252879.852,4.700,82919424
1788252881.862,6.200,82919424
