t,cpu_pct,rss_bytes
1788253233.261,9.400,83476480
1788253235.265,7.000,83484672
1788253237.273,13.300,83824640
1788253239.285,7.000,83824640
1788253241.295,10.900,83824640
1788253243.305,5.500,83824640
1788253245.319,6.200,83824640
1788253247.333,6.200,83824640
1788253249.341,13.200,83824640
1788253251.355,14.100,83824640
1788253253.364,10.900,83836928
1788253255.371,9.400,83836928
1788253257.381,2.300,83836928
1788253259.387,8.600,83836928
1788253261.397,7.000,83836928
1788253263.407,8.500,83853312
1788253265.418,6.200,83853312
1788253267.426,11.600,83853312
1788253269.436,10.900,84557824
1788253271.448,6.200,83853312
1788253273.460,4.700,83853312
1788253275.469,10.100,83853312
1788253277.481,4.700,83853312
1788253279.492,13.300,83853312
1788253281.501,9.300,83853312
1788253283.510,7.800,83853312
1788253285.523,4.700,83853312
1788253287.535,3.900,83853312
1788253289.544,7.800,83853312
1788253291.555,4.700,83853312
